Number of Records,Table Name,Accession Number,City,Commission Cik,Commission File Number,Company Name,Crd Number,Date Incorporation,Is Amendment,Issuer Website,Jurisdiction Organization,Legal Status Form,Legal Status Other Desc,Name Of Issuer,Nature Of Amendment,Progress Update,State Or Country,Street1,Street2,Zip Code
1,2016q2.tsv,0001644600-16-000132,LAS VEGAS,1665160,007-00007,StartEngine Capital LLC,282945,9/1/2015 12:00:00 AM,0,www.nextrx.net,NV,Corporation,,NextRX Inc.,,,NV,8670 WEST CHEYENNE AVENUE,SUITE 120,89129
1,2016q2.tsv,0001665160-16-000067,BOCA RATON,1665160,007-00007,StartEngine Capital LLC,,4/11/2012 12:00:00 AM,0,http://GraphicArmor.com,DE,Corporation,,"Graphic Armor, Inc.",,,FL,1200 N. FEDERAL HWY,SUITE 200,33432
1,2016q2.tsv,0001665160-16-000068,SOLANA BEACH,1665160,007-00007,StartEngine Capital LLC,282945,4/28/2016 12:00:00 AM,0,www.gametree.me,DE,Corporation,,GameTree PBC,Needed to re-upload campaign screen shots. First upload did not work.,,CA,702 CASTRO ST,,92075
1,2016q2.tsv,0001670254-16-000020,Emeryville,1670254,007-00033,Wefunder Portal LLC,283503,3/4/2016 12:00:00 AM,0,http://www.thelegionm.com,DE,Corporation,,"Legion M Entertainment, Inc.",,,CA,6425 Christie Ave. 5th Floor,,94608
1,2016q2.tsv,0001644600-16-000134,College Park,1669328,007-00029,"SI Portal, LLC",283382,4/23/2014 12:00:00 AM,0,www.mffire.com,MD,Limited Liability Company,,MF Fire,,,MD,3413 Metzerott Rd.,,20740
1,2016q2.tsv,0001644600-16-000137,CLEVELAND,1669328,007-00029,"SI Portal, LLC",283382,4/14/2016 12:00:00 AM,0,www.startmart.us,DE,Corporation,,"StartMart Cleveland, Inc.",,,OH,50 PUBLIC SQUARE,SUITE 200,44113
1,2016q2.tsv,0001670254-16-000022,Boston,1670254,007-00033,Wefunder Portal LLC,283503,10/21/2015 12:00:00 AM,0,http://www.betabionics.org,MA,Corporation,,"Beta Bionics, Inc.",,,MA,Business Innovation Center,"8 Saint Mary's Street, Suite 936",02215
1,2016q2.tsv,0001670254-16-000030,Novato,1670254,007-00033,Wefunder Portal LLC,283503,9/8/2015 12:00:00 AM,0,https://veditz.org,DE,Corporation,,Exemplars Inc.,,,CA,448  Ignacio Blvd,#343,94949
1,2016q2.tsv,0001670254-16-000026,Boston,1670254,007-00033,Wefunder Portal LLC,283503,10/15/2015 12:00:00 AM,0,http://www.troupejewelry.com,DE,Corporation,,"Kindred Brands, Inc.",,,MA,425 Washington St.,,02135
1,2016q2.tsv,0001674319-16-000003,LONGVIEW,1320303,008-66859,"FLASHFUNDERS SECURITIES, LLC",134742,3/31/2016 12:00:00 AM,0,http://www.mobilespike.com/,DE,Corporation,,"MobileSpike, Inc.",,,WA,3269 WASHINGTON WAY,,98632
1,2016q2.tsv,0001670254-16-000024,San Francisco,1670254,007-00033,Wefunder Portal LLC,283503,1/2/2015 12:00:00 AM,0,http://www.thespeakeasy.com,CA,Limited Liability Company,,Sam Lee Laundry LLC,,,CA,224 28th street,,94131
1,2016q2.tsv,0001670254-16-000032,Brooklyn,1670254,007-00033,Wefunder Portal LLC,283503,2/11/2011 12:00:00 AM,0,http://www.nextdoorganics.com,RI,Corporation,,"Nextdoorganics, Inc.",,,NY,360 Throop Ave.,,11003
1,2016q2.tsv,0001670254-16-000035,Berkeley,1670254,007-00033,Wefunder Portal LLC,283503,3/29/2011 12:00:00 AM,0,http://www.kibin.com,DE,Corporation,,"Kibin, Inc.",,,CA,2470 Telegraph Ave.,#302,94704
1,2016q2.tsv,0001670254-16-000037,Boston,1670254,007-00033,Wefunder Portal LLC,283503,7/8/2010 12:00:00 AM,0,http://www.qmedichealth.com/,DE,Corporation,,"EveryFit, Inc.",,,MA,44 School St.,Suite 350,02108
1,2016q2.tsv,0001670254-16-000040,Melrose,1670254,007-00033,Wefunder Portal LLC,283503,6/25/2014 12:00:00 AM,0,http://getrocketbook.com/,DE,Corporation,,"Rocket Innovations, Inc.",,,MA,1 Chipman Terrace,,02176
1,2016q2.tsv,0001665160-16-000069,PETERBOROUGH,1665160,007-00007,StartEngine Capital LLC,,9/9/2015 12:00:00 AM,0,www.qazing.com,DE,Corporation,,"qaZING, Inc.",We are adding an attachment with the full offering terms and other details for the Form C,,NH,70 MAIN STREET,"5TH FLOOR, SUITE 500",03458
1,2016q2.tsv,0001670254-16-000042,Berkeley,1670254,007-00033,Wefunder Portal LLC,283503,2/5/2010 12:00:00 AM,0,http://www.slingfin.com/,CA,Corporation,,"SlingFin, Inc.",,,CA,1355 4th St.,Suite C,94710
1,2016q2.tsv,0001665160-16-000070,VICTOR,1665160,007-00007,StartEngine Capital LLC,,3/17/2015 12:00:00 AM,0,www.turtlewise.net,DE,Corporation,,"TurtleWise, Inc.",,,NY,154 COBBLESTONE COURT DRIVE,SUITE 122,14564
1,2016q2.tsv,0001670254-16-000043,Boulder,1670254,007-00033,Wefunder Portal LLC,283503,4/9/2015 12:00:00 AM,0,http://mytrailco.com,CO,Corporation,,"My Trail Company, PBC",,,CO,6595 Odell Place,Suite G-1,80301
1,2016q2.tsv,0001670254-16-000044,Brooklyn,1670254,007-00033,Wefunder Portal LLC,283503,9/30/2014 12:00:00 AM,0,http://www.investFeed.com,DE,Corporation,,investFeed Inc.,,,NY,111 Nelson St.,Suite #2,11231
1,2016q2.tsv,0001670254-16-000045,San Mateo,1670254,007-00033,Wefunder Portal LLC,283503,5/7/2015 12:00:00 AM,0,http://shapescale.com,DE,Corporation,,Shape Labs Inc.,,,CA,2898 Baze Road,,94033
1,2016q2.tsv,0001670254-16-000047,Denver,1670254,007-00033,Wefunder Portal LLC,283503,1/27/2016 12:00:00 AM,0,http://stillcompany.com/,CO,Corporation,,Still Company Inc.,,,CO,1627 Vine Street,,80206
1,2016q2.tsv,0001670254-16-000049,Cleveland,1670254,007-00033,Wefunder Portal LLC,283503,7/8/2009 12:00:00 AM,0,http://clevelandwhiskey.com/,OH,Limited Liability Company,,Cleveland Whiskey LLC,,,OH,1768 E. 25th St,,44114
1,2016q2.tsv,0001670254-16-000051,San Francisco,1670254,007-00033,Wefunder Portal LLC,283503,1/2/2015 12:00:00 AM,1,http://www.thespeakeasysf.com/,CA,Limited Liability Company,,Sam Lee Laundry LLC,"include audited financials, increase maximum offering amount, update risks, signed by another managing member",,CA,224 28th street,,94131
1,2016q2.tsv,0001670254-16-000052,Denver,1670254,007-00033,Wefunder Portal LLC,283503,1/27/2016 12:00:00 AM,1,http://stillcompany.com/,CO,Corporation,,Still Company Inc.,"include CPA reviewed financials, increase maximum offering amount to $200K, add risk, and update business plan",,CO,1627 Vine Street,,80206
1,2016q2.tsv,0001445866-16-002207,CHICAGO,1667145,007-00015,TRUCROWD INC,,5/14/2016 12:00:00 AM,0,www.gogride.com,IL,Corporation,,G-RIDE INC.,,,IL,155 N. WACKER DR SUITE 1950,,60606
1,2016q2.tsv,0001674421-16-000003,CHARLES TOWN,1665160,007-00007,StartEngine Capital LLC,282945,9/22/2014 12:00:00 AM,0,www.bloomerysweetshine.com,WV,Limited Liability Company,,"Bloomery Investment Holdings, LLC",The net income figures in the xml portion of our filing did not reflect that they were a negative value. The figures in the actual Form C and as presented on the Funding Portal are accurate.,,WV,16357 CHARLES TOWN ROAD,,25414
1,2016q2.tsv,0001625242-16-000025,Whitewater,1625242,008-69560,Venture.co Brokerage Services LLC,173924,2/6/2006 12:00:00 AM,0,www.bomboard.com,DE,Limited Liability Company,,Bomboard LLC,,,WI,884 S. Janesville Street,SUITE E,53190
1,2016q2.tsv,0001625242-16-000032,Palo Alto,1625242,008-69560,Venture.co Brokerage Services LLC,173924,10/27/2012 12:00:00 AM,0,www.popslate.com,DE,Corporation,,PopSLATE Media Inc,,,CA,1059 East Meadow Cirle,,94303
1,2016q2.tsv,0001665160-16-000071,BOCA RATON,1665160,007-00007,StartEngine Capital LLC,,4/11/2012 12:00:00 AM,0,http://GraphicArmor.com,DE,Corporation,,"Graphic Armor, Inc.",Browser bug relating to the negative sign to indicate a negative number in first submission,,FL,1200 N. FEDERAL HWY,SUITE 200,33432
1,2016q2.tsv,0001625242-16-000040,Los Angeles,1625242,008-69560,Venture.co Brokerage Services LLC,173924,5/11/2016 12:00:00 AM,0,www.sydeapp.com,VA,Corporation,,BYS Daily. Inc.,,,CA,8045 Fareholm Drive,NA,90046
1,2016q2.tsv,0001674180-16-000004,AUSTIN,1667892,007-00023,NextSeed US LLC,283225,3/31/2016 12:00:00 AM,0,nativehostels.com,TX,Limited Liability Company,,Native Hostel Austin LLC,To update certain images and add bonus rewards on the offering page.,,TX,807 E. 4TH STREET,,78702
1,2016q2.tsv,0001670254-16-000053,San Francisco,1670254,007-00033,Wefunder Portal LLC,283503,3/8/2012 12:00:00 AM,1,http://www.taxa.com,DE,Corporation,,TAXA Biotechnologies Inc,"Lowered target offering amount to $200K, include revenue share for the first $200K, and updated business plan.",,CA,665 3rd Street,Ste 230,94107
1,2016q2.tsv,0001670254-16-000054,San Francisco,1670254,007-00033,Wefunder Portal LLC,283503,3/8/2012 12:00:00 AM,1,http://www.taxa.com,DE,Corporation,,TAXA Biotechnologies Inc,Include updated SAFE contract where major investor threshold is $10K instead of $25K.,,CA,665 3rd Street,Ste 230,94107
1,2016q2.tsv,0001644600-16-000146,MINNEAPOLIS,1669328,007-00029,"SI Portal, LLC",283382,2/10/2016 12:00:00 AM,0,www.stratifund.com,DE,Corporation,,"Stratifund, Inc.",,,MN,"420 NORTH 5TH STREET, SUITE 500",,55401
1,2016q2.tsv,0001644600-16-000148,MINNEAPOLIS,1669328,007-00029,"SI Portal, LLC",283382,2/10/2016 12:00:00 AM,0,www.stratifund.com,DE,Corporation,,"Stratifund, Inc.",EDGAR error when selecting jurisdictions and correction to formatting error on exhibit.,,MN,"420 NORTH 5TH STREET, SUITE 500",,55401
1,2016q2.tsv,0001665160-16-000073,Irvine,1665160,007-00007,StartEngine Capital LLC,,8/7/2013 12:00:00 AM,0,www.pipelinevr.com,DE,Corporation,,"Pipeline Sports Network, Inc.",,,CA,5141 California Ave,Suite 200,92697
1,2016q2.tsv,0001674180-16-000005,AUSTIN,1667892,007-00023,NextSeed US LLC,283225,3/31/2016 12:00:00 AM,0,nativehostels.com,TX,Limited Liability Company,,Native Hostel Austin LLC,To update certain images on the offering page.,,TX,807 E. 4TH STREET,,78702
1,2016q2.tsv,0001675554-16-000001,AUSTIN,1667892,007-00023,NextSeed US LLC,283225,7/14/2015 12:00:00 AM,0,http://vigilantebar.com/,TX,Limited Liability Company,,"Vigilante Gaming Bar, LLC",,,TX,4102 AVENUE H #A,,78751
1,2016q2.tsv,0001670254-16-000055,Austin,1670254,007-00033,Wefunder Portal LLC,283503,5/3/2016 12:00:00 AM,0,http://www.hopsandgrain.com/,TX,Limited Liability Company,,"Hops and Grain Production, LLC",,,TX,507 Calles St.,Suite 101,78702
1,2016q2.tsv,0001625242-16-000081,Whitewater,1625242,008-69560,Venture.co Brokerage Services LLC,173924,2/6/2006 12:00:00 AM,1,www.bomboard.com,DE,Limited Liability Company,,Bomboard LLC,Updated offering memorandum to include current information on company plans. Added Manager as signatory.,,WI,884 S. Janesville Street,SUITE E,53190
1,2016q2.tsv,0001675554-16-000003,AUSTIN,1667892,007-00023,NextSeed US LLC,283225,7/14/2015 12:00:00 AM,0,http://vigilantebar.com/,TX,Limited Liability Company,,"Vigilante Gaming Bar, LLC",To clarify a statement on the offering page.,,TX,4102 AVENUE H #A,,78751
1,2016q2.tsv,0001670254-16-000056,Austin,1670254,007-00033,Wefunder Portal LLC,283503,5/3/2016 12:00:00 AM,1,http://www.hopsandgrain.com/,TX,Limited Liability Company,,"Hops and Grain Production, LLC","Including CPA reviewed financials and increasing maximum offering amount to $1,000,000.",,TX,507 Calles St.,Suite 101,78702
1,2016q2.tsv,0001665160-16-000078,IRVINE,1665160,007-00007,StartEngine Capital LLC,,8/7/2013 12:00:00 AM,0,www.pipelinevr.com,DE,Corporation,,"Pipeline Sports Network, Inc.","This amendment modifies the closing date from 8/15/16 to 11/15/16 and reduces the minimum funding goal from $300,000 to $200,000. This offering has not yet been made live on StartEngine.",,CA,5141 CALIFORNIA AVE,SUITE 200,92697
1,2016q2.tsv,0001670254-16-000058,Brooklyn,1670254,007-00033,Wefunder Portal LLC,283503,4/22/2011 12:00:00 AM,0,http://barrowsintense.com,NY,Limited Liability Company,,"Proof of Concept, LLC",,,NY,67 35th St.,C405,11232
1,2016q2.tsv,0001674180-16-000006,AUSTIN,1667892,007-00023,NextSeed US LLC,283225,3/31/2016 12:00:00 AM,0,nativehostels.com,TX,Limited Liability Company,,Native Hostel Austin LLC,To update certain images and add an example of how revenue share works on the offering page.,,TX,807 E. 4TH STREET,,78702
1,2016q2.tsv,0001674421-16-000008,CHARLES TOWN,1665160,007-00007,StartEngine Capital LLC,282945,9/22/2014 12:00:00 AM,0,www.bloomerysweetshine.com,WV,Limited Liability Company,,"Bloomery Investment Holdings, LLC","The Form C has been amended to update certain information, including the extension of the offering deadline and the lowering of the minimum investment amount, as set forth in further detail on the cover page of the Form C.",,WV,16357 CHARLES TOWN ROAD,,25414
1,2016q2.tsv,0001674421-16-000010,CHARLES TOWN,1665160,007-00007,StartEngine Capital LLC,282945,9/22/2014 12:00:00 AM,1,www.bloomerysweetshine.com,WV,Limited Liability Company,,"Bloomery Investment Holdings, LLC","The Form C has been amended to update certain information, including the extension of the offering deadline and the lowering of the minimum investment amount, as set forth in further detail on the cover page of the Form C.",,WV,16357 CHARLES TOWN ROAD,,25414
1,2016q2.tsv,0001677405-16-000001,SAN DIEGO,1320303,008-66859,"FLASHFUNDERS SECURITIES, LLC",134742,6/10/2016 12:00:00 AM,0,www.contentlaunch.com,DE,Corporation,,"Content Launch Solutions, Inc.",,,CA,16935 WEST BERNARDO DRIVE,SUITE 170,92127
1,2016q2.tsv,0001625242-16-000114,Los Angeles,1625242,008-69560,Venture.co Brokerage Services LLC,173924,5/11/2016 12:00:00 AM,1,www.sydeapp.com,VA,Corporation,,BYS Daily. Inc.,"Edgar did not process initial uploads of the offering memorandum or subscription agreement. Updated typographical errors, added manager to signatory, and attached financial documentation. Extended deadline due to escrow delay.",,CA,8045 Fareholm Drive,NA,90046
1,2016q2.tsv,0001625242-16-000115,Palo Alto,1625242,008-69560,Venture.co Brokerage Services LLC,173924,10/27/2012 12:00:00 AM,1,www.popslate.com,DE,Corporation,,PopSLATE Media Inc,EDGAR did not accept prior uploaded subscription agreement. Added company financials. Extended Deadline due to delayed escrow.,,CA,1059 East Meadow Cirle,,94303
1,2016q2.tsv,0001676918-16-000001,REYNOLDSBURG,1668380,007-00024,"UFP, LLC",,2/20/2010 12:00:00 AM,0,http://www.ahecEnergy.com,OH,Corporation,,Allen Hydro Energy Corp (AHEC),,,OH,7108 BENNELL DRIVE,,43068
1,2016q2.tsv,0001670254-16-000059,Captain Cook,1670254,007-00033,Wefunder Portal LLC,283503,12/22/2015 12:00:00 AM,0,http://www.hawaiianola.com,HI,Corporation,,Hawaiian Ola Brewing Corporation,,,HI,89-1368 MAMALAHOA HWY,,96704
1,2016q2.tsv,0001670254-16-000062,Oakland,1670254,007-00033,Wefunder Portal LLC,283503,10/9/2012 12:00:00 AM,0,http://spotlightgirls.com,CA,Corporation,,Spotlight:Girls,,,CA,671 63rd St,,94609
1,2016q2.tsv,0001670254-16-000065,,,,,,,0,,,,,"Kindred Brands, Inc.",,,,,,
1,2016q2.tsv,0001677405-16-000002,SAN DIEGO,1320303,008-66859,"FLASHFUNDERS SECURITIES, LLC",134742,6/10/2016 12:00:00 AM,1,www.contentlaunch.com,DE,Corporation,,"Content Launch Solutions, Inc.",Changes in offering terms associated with dates; Additional company disclosures made in definitive investment documents; Change to Disclosure Requirements (Short Term Debt adjusted); Change to shareholder name in Disclosure Questionnaire.,,CA,16935 WEST BERNARDO DRIVE,SUITE 170,92127
1,2016q2.tsv,0001670254-16-000066,Oakland,1670254,007-00033,Wefunder Portal LLC,283503,10/9/2012 12:00:00 AM,0,http://spotlightgirls.com,CA,Corporation,,Spotlight:Girls,Include Articles of Incorporation and updated business plan,,CA,671 63rd St,,94609
1,2016q2.tsv,0001676570-16-000001,HUNTINGTON STATION,1320303,008-66859,"FLASHFUNDERS SECURITIES, LLC",134742,5/11/2016 12:00:00 AM,0,www.sharkstopper.com,DE,Corporation,,"SharkStopper, Inc.",,,NY,1 MEADOWBROOK DRIVE,,11746
1,2016q2.tsv,0001676480-16-000001,AUSTIN,1667892,007-00023,NextSeed US LLC,283225,2/26/2016 12:00:00 AM,0,caskandcoal.com,TX,Limited Liability Company,,"Brewer's Table - East Austin, LLC",,,TX,4715 East 5th St,,78702
1,2016q2.tsv,0001676570-16-000004,HUNTINGTON STATION,1320303,008-66859,"FLASHFUNDERS SECURITIES, LLC",134742,5/11/2016 12:00:00 AM,0,www.sharkstopper.com,DE,Corporation,,"SharkStopper, Inc.",Offering Page images failed to upload. Attaching Offering Page images.,,NY,1 MEADOWBROOK DRIVE,,11746
1,2016q3.tsv,0001675896-16-000002,SARASOTA,1664804,007-00008,"Jumpstart Micro, Inc",,5/20/2016 12:00:00 AM,0,www.treycent.com,FL,Corporation,,"Treycent, Inc",,,FL,7431 ROEBELENII CT,,34241
1,2016q3.tsv,0001676208-16-000001,BROOKLYN,1664804,007-00008,"Jumpstart Micro, Inc",,8/20/2015 12:00:00 AM,0,www.travelbook-app.com,NY,Limited Liability Company,,"Viaggiatori, LLC",,,NY,246 NORTH 5TH STREET,,11211
1,2016q3.tsv,0001670254-16-000067,Atlanta,1670254,007-00033,Wefunder Portal LLC,283503,5/1/2014 12:00:00 AM,0,http://www.runbeerfit.com,GA,Limited Liability Company,,Monday Night Mile LLC | DBA BeerFit,,,GA,1040 W Marietta St. NW,,30318
1,2016q3.tsv,0001676570-16-000005,HUNTINGTON STATION,1320303,008-66859,"FLASHFUNDERS SECURITIES, LLC",134742,5/11/2016 12:00:00 AM,0,www.sharkstopper.com,DE,Corporation,,"SharkStopper, Inc.","Amending Issuer Disclosure Questionnaire to include the following: """"All information presented to investors hosted on FlashFunders.com is available in the 'OFFERING PAGE' attachment to the SharkStopper Form C/A."""" No material change has been made.",,NY,1 MEADOWBROOK DRIVE,,11746
1,2016q3.tsv,0001678623-16-000001,MOBILE,1665160,007-00007,StartEngine Capital LLC,282945,6/27/2016 12:00:00 AM,0,http://seedvolagetech.com/,AL,Corporation,,SEED VOLAGE TECH CORP,,,AL,507 BOOKER ST,,36604
1,2016q3.tsv,0001675585-16-000002,COLUMBUS,1664804,007-00008,"Jumpstart Micro, Inc",,12/8/2008 12:00:00 AM,0,www.axedigitalguitar.com,OH,Limited Liability Company,,James William Spencer,,,OH,5505 KEIM CIRCLE,SUITE 330,43228
1,2016q3.tsv,0001678208-16-000004,DENVER,1668380,007-00024,"UFP, LLC",,6/23/2016 12:00:00 AM,0,http://uncensoredpatriot.com/,CO,Corporation,,Uncensored Freedom Inc.,,,CO,1550 LARIMER,272,80202
1,2016q3.tsv,0001625242-16-000120,Los Angeles,1625242,008-69560,Venture.co Brokerage Services LLC,173924,5/11/2016 12:00:00 AM,1,www.sydeapp.com,VA,Corporation,,BYS Daily. Inc.,"Edgar did not process initial uploads of the offering memorandum or subscription agreement. Updated typographical errors, added manager to signatory, and attached financial documentation. Extended deadline due to escrow delay.",,CA,8045 Fareholm Drive,NA,90046
1,2016q3.tsv,0001677843-16-000002,CHICAGO,1667727,007-00027,crowdsourcefunded.com,1400667,5/29/2014 12:00:00 AM,0,www.vgsmartglass.com,FL,Limited Liability Company,,VG Smartglass LLC,,,IL,3440 S. DEARBORN ST.,STE 130S,60616
1,2016q3.tsv,0001670254-16-000069,hayward,1670254,007-00033,Wefunder Portal LLC,283503,9/22/2015 12:00:00 AM,0,http://cincotacobar.com,CA,Limited Liability Company,,Vive! Restaurant Group LLC,,,CA,3415 Otter Ct,,94542
1,2016q3.tsv,0001670254-16-000071,oakland,1670254,007-00033,Wefunder Portal LLC,283503,8/9/2013 12:00:00 AM,0,http://www.redbaycoffee.com,CA,Limited Liability Company,,Red Bay Coffee Company,,,CA,3098 E. 10th Street,,94606
1,2016q3.tsv,0001609838-16-000003,SAN FRANCISCO,1320303,008-66859,"FLASHFUNDERS SECURITIES, LLC",134742,8/26/2013 12:00:00 AM,0,http://www.thebanterapp.com/,DE,Corporation,,"Around Labs, Inc.",,,CA,758 GREEN STREET,,94133
1,2016q3.tsv,0001670254-16-000073,Brooklyn,1670254,007-00033,Wefunder Portal LLC,283503,4/22/2011 12:00:00 AM,1,http://barrowsintense.com,NY,Limited Liability Company,,"Proof of Concept, LLC","Correction in financials regarding long-term debt, include pitch deck and updated business plan.",,NY,67 35th St.,C405,11232
1,2016q3.tsv,0001675585-16-000004,COLUMBUS,1664804,007-00008,"Jumpstart Micro, Inc",,12/8/2008 12:00:00 AM,0,www.axedigitalguitar.com,OH,Limited Liability Company,,AXE A.I. TECHNOLOGIES LLC,Updated management team and correct an error found on the financial statements effecting the gross profit and beginning and ending cash,,OH,5505 KEIM CIRCLE,SUITE 330,43228
1,2016q3.tsv,0001674207-16-000002,COLLEGE PARK,1669328,007-00029,"SI Portal, LLC",283382,4/23/2014 12:00:00 AM,0,www.mffire.com,MD,Limited Liability Company,,MF Fire,"Reduction of target offering amount and maximum offering, as well as extension of the offering.",,MD,3413 METZEROTT RD.,,20740
1,2016q3.tsv,0001679526-16-000003,PITTSBURGH,1573778,008-69264,"I-BANKERS DIRECT, LLC",167533,11/17/2006 12:00:00 AM,0,www.wblazer.com,PA,Limited Liability Company,,W. Blazer Holdings LLC,,,PA,650 SMITHFIELD ST,SUITE 2130,15222
1,2016q3.tsv,0001678997-16-000002,MADISON,1573778,008-69264,"I-BANKERS DIRECT, LLC",167533,3/5/2016 12:00:00 AM,0,www.cloudspray.rocks,MS,Corporation,,CloudSpray Corp,,,MS,110 LEXINGTON DRIVE,,39110
1,2016q3.tsv,0001667014-16-000003,NEW BUFFALO,1544442,008-69063,LOCALSTAKE MARKETPLACE LLC,162726,10/14/2014 12:00:00 AM,0,http://www.beerchurchbrewing.com,MI,Limited Liability Company,,"Big Brother Holding Company, LLC",,,MI,24 SOUTH WHITTAKER STREET,,49117
1,2016q3.tsv,0001679372-16-000002,Newport Beach,1672732,007-00046,OpenDeal Inc.,283874,6/14/2016 12:00:00 AM,0,youngry.com,DE,Limited Liability Company,,"Youngry, LLC",,,CA,"5490 Macarthur Blvd, Ste 500",,92660
1,2016q3.tsv,0001679372-16-000004,NEW YORK,1672732,007-00046,OpenDeal Inc.,283874,4/7/2014 12:00:00 AM,0,raceya.com,DE,Corporation,,"RaceYa, Inc.",,,NY,175 VARICK STREET,,10014
1,2016q3.tsv,0001679373-16-000001,SAN FRANCISCO,1672732,007-00046,OpenDeal Inc.,283874,2/6/2012 12:00:00 AM,0,farmfromabox.com,DE,Corporation,,Farm From a Box Inc.,,,CA,101 THE EMBARCADERO #214,,94105
1,2016q3.tsv,0001679372-16-000006,NEWPORT BEACH,1672732,007-00046,OpenDeal Inc.,283874,6/14/2016 12:00:00 AM,0,youngry.com,DE,Limited Liability Company,,"Youngry, LLC",Upload the transcript of the video available on the funding portal.,,CA,"5490 MACARTHUR BLVD, STE 500",,92660
1,2016q3.tsv,0001680041-16-000001,PROVIDENCE,1672732,007-00046,OpenDeal Inc.,283874,5/6/2009 12:00:00 AM,0,maternova.net,RI,Corporation,,"Maternova, Inc.",,,RI,"460 HARRIS AVENUE, SUITE 201",,09209
1,2016q3.tsv,0001647869-16-000002,NEW YORK,1672732,007-00046,OpenDeal Inc.,283874,4/7/2014 12:00:00 AM,0,raceya.com,DE,Corporation,,"RaceYa, Inc.",Upload transcript to video posted on funding portal.,,NY,175 VARICK STREET,,10014
